# LO_Hz=2400000000
# BW_Hz=4000000
# FS_Hz=4000000
# N=256
# S_SYNC=200
# N_UP=4
# N_SYNC=2
# N_DOWN=4
# N_SLOTS=30
# MIN_RUN=3
# BIN_TOL=0
# PSR_MIN=10.0
# RX_GAIN_dB=40
# bin_Hz=15625.0
# sample_us=0.25
t_s,run_up0,run_up1,run_dn0,run_dn1,f_up,f_dn,c_bins,tie,cfo_int_hz,cfo_frac_hz,cfo_hz,eps_up,eps_dn,eps_frac,sto_bins,sto_us,sync_meas,sync_ok
1.052,0,3,6,9,40.000,216.000,0.000,0,0.000,-32.724,-32.724,-0.150901,-0.146712,-0.002094,216.000,54.0000,200.000,1
1.055,2,5,18,21,54.000,202.000,0.000,0,0.000,-5.114,-5.114,-0.147074,-0.146420,-0.000327,202.000,50.5000,222.241,0
1.063,0,3,6,9,200.000,56.000,0.000,0,0.000,-233.961,-233.961,-0.154920,-0.124973,-0.014973,56.000,14.0000,200.000,1
1.096,1,4,7,10,29.000,226.000,-0.500,1,0.000,-14.309,-14.309,-0.152055,-0.150223,-0.000916,226.500,56.6250,200.000,1
1.105,2,5,8,11,249.000,6.000,-0.500,1,-15625.000,24.112,-15600.888,-0.145713,-0.148799,0.001543,6.500,1.6250,201.000,1
1.109,2,5,8,11,50.000,206.000,0.000,0,0.000,-22.032,-22.032,-0.152843,-0.150022,-0.001410,206.000,51.5000,199.000,0
1.113,1,4,7,10,225.000,30.000,-0.500,1,0.000,-12.140,-12.140,-0.141165,-0.139611,-0.000777,30.500,7.6250,201.000,1
1.124,0,3,6,9,134.000,123.000,0.500,1,15625.000,-23.726,15601.274,-0.151240,-0.148203,-0.001518,122.500,30.6250,199.500,1
1.132,3,6,19,22,213.000,43.000,0.000,0,0.000,-23.350,-23.350,-0.150916,-0.147928,-0.001494,43.000,10.7500,235.671,0
1.157,0,3,5,8,53.000,203.000,0.000,0,0.000,179.531,179.531,-0.127078,-0.150058,0.011490,203.000,50.7500,200.000,1
1.164,0,3,7,10,201.000,55.000,0.000,0,0.000,138.298,138.298,-0.133985,-0.151687,0.008851,55.000,13.7500,199.667,1
1.168,0,3,7,10,215.000,41.000,0.000,0,0.000,58.992,58.992,-0.139524,-0.147075,0.003775,41.000,10.2500,199.667,1
1.187,0,3,6,9,17.000,239.000,0.000,0,0.000,12.426,12.426,-0.151992,-0.153583,0.000795,239.000,59.7500,200.000,1
